Size,Time
5,9.54E-07
10,0.00E+00
100,7.87E-06
1000,1.12E-04
10000,0.001482009888
100000,2.43E-02
1000000,0.2367098331
5000000,1.566478729
7000000,2.85E+00
80000000,4.23E+01
90000000,4.95E+01
95000000,56.47203922
97000000,5.45E+01
100000000,5.88E+01
