Size,Time
6,8.11E-06
1006,2.69E-04
2006,5.42E-04
3006,8.07E-04
4006,1.09E-03
5006,2.33E-03
6006,0.001802921295
7006,0.005706071854
8006,0.005722761154
9006,0.004505157471
