Size,Time
5,9.54E-07
10,9.54E-07
100,9.54E-07
1000,8.11E-06
10000,4.89E-05
100000,7.96E-04
1000000,0.0001978874207
5000000,4.38E-02
7000000,9.55E-03
80000000,3.23E-01
90000000,0.367069006
